date,exchange_rate_USD_JY_x,cpi_us,inflation_us,interest_r_us,gdp_pc_us,govt_debt_us,exchange_rate_USD_JY_y,cpi_j,interest_r_j,inflation_j,gdp_pc_j,govt_debt_j
1971-01-04,357.73,39.9,4.29276668813045,5.5,24535.0,34.50345,357.73,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.8283996204983
1971-01-05,357.81,39.9,4.29276668813045,5.5,24535.0,34.50345,357.81,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.8650973433972
1971-01-06,357.86,39.9,4.29276668813045,3.75,24535.0,34.50345,357.86,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.888033420209
1971-01-07,357.87,39.9,4.29276668813045,4.5,24535.0,34.50345,357.87,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.89262063557135
1971-01-08,357.82,39.9,4.29276668813045,4.5,24535.0,34.50345,357.82,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.8696845587596
1971-01-11,357.95,39.9,4.29276668813045,4.38,24535.0,34.50345,357.95,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.92931835847025
1971-01-12,358.06,39.9,4.29276668813045,4.25,24535.0,34.50345,358.06,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.9797777274563
1971-01-13,358.44,39.9,4.29276668813045,3.25,24535.0,34.50345,358.44,32.7818783405447,5.75,6.39534883720931,14456.8211953459,334.15409191122603
1971-01-14,358.4,39.9,4.29276668813045,4.13,24535.0,34.50345,358.4,32.7818783405447,5.75,6.39534883720931,14456.8211953459,334.1357430497766
1971-01-15,358.4,39.9,4.29276668813045,4.0,24535.0,34.50345,358.4,32.7818783405447,5.75,6.39534883720931,14456.8211953459,334.1357430497766
1971-01-18,358.29,39.9,4.29276668813045,3.88,24535.0,34.50345,358.29,32.7818783405447,5.75,6.39534883720931,14456.8211953459,334.0852836807905
1971-01-19,358.35,39.9,4.29276668813045,4.13,24535.0,34.50345,358.35,32.7818783405447,5.75,6.39534883720931,14456.8211953459,334.1128069729648
1971-01-20,358.4,39.9,4.29276668813045,4.75,24535.0,34.50345,358.4,32.7818783405447,5.75,6.39534883720931,14456.8211953459,334.1357430497766
1971-01-21,358.27,39.9,4.29276668813045,4.63,24535.0,34.50345,358.27,32.7818783405447,5.75,6.39534883720931,14456.8211953459,334.0761092500659
1971-01-22,357.9,39.9,4.29276668813045,4.25,24535.0,34.50345,357.9,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.90638228165847
1971-01-25,357.73,39.9,4.29276668813045,4.13,24535.0,34.50345,357.73,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.8283996204983
1971-01-26,357.78,39.9,4.29276668813045,3.88,24535.0,34.50345,357.78,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.8513356973101
1971-01-27,357.79,39.9,4.29276668813045,4.25,24535.0,34.50345,357.79,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.8559229126725
1971-01-28,357.83,39.9,4.29276668813045,4.25,24535.0,34.50345,357.83,32.7818783405447,5.75,6.39534883720931,14456.8211953459,333.8742717741219
