,date,exchange_rate_USD_JY,cpi_j,interest_r_j,inflation_j,gdp_pc_j,cpi_us,inflation_us,interest_r_us,gdp_pc_us,govt_debt_j,govt_debt_us
0,1971-01-04,357.73,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,5.5,24535.0,,34.50345
1,1971-01-05,357.81,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,5.5,24535.0,,34.50345
2,1971-01-06,357.86,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.75,24535.0,,34.50345
3,1971-01-07,357.87,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.5,24535.0,,34.50345
4,1971-01-08,357.82,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.5,24535.0,,34.50345
5,1971-01-11,357.95,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.38,24535.0,,34.50345
6,1971-01-12,358.06,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.25,24535.0,,34.50345
7,1971-01-13,358.44,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.25,24535.0,,34.50345
8,1971-01-14,358.4,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.13,24535.0,,34.50345
9,1971-01-15,358.4,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.0,24535.0,,34.50345
10,1971-01-18,358.29,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.88,24535.0,,34.50345
11,1971-01-19,358.35,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.13,24535.0,,34.50345
12,1971-01-20,358.4,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.75,24535.0,,34.50345
13,1971-01-21,358.27,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.63,24535.0,,34.50345
14,1971-01-22,357.9,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.25,24535.0,,34.50345
15,1971-01-25,357.73,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.13,24535.0,,34.50345
16,1971-01-26,357.78,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.88,24535.0,,34.50345
17,1971-01-27,357.79,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.25,24535.0,,34.50345
18,1971-01-28,357.83,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.25,24535.0,,34.50345
19,1971-01-29,357.72,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.0,24535.0,,34.50345
20,1971-02-01,357.67,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.38,,,
21,1971-02-02,357.55,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.25,,,
22,1971-02-03,357.54,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.75,,,
23,1971-02-04,357.51,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.25,,,
24,1971-02-05,357.53,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.88,,,
25,1971-02-08,357.49,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.5,,,
26,1971-02-09,357.5,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,2.75,,,
27,1971-02-10,357.5,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.0,,,
28,1971-02-11,357.5,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.0,,,
29,1971-02-12,,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.0,,,
30,1971-02-15,,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.0,,,
31,1971-02-16,357.53,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.0,,,
32,1971-02-17,357.53,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,5.0,,,
33,1971-02-18,357.53,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,4.13,,,
34,1971-02-19,357.56,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.88,,,
35,1971-02-22,357.6,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.25,,,
36,1971-02-23,357.55,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.0,,,
37,1971-02-24,357.6,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,2.25,,,
38,1971-02-25,357.56,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.25,,,
39,1971-02-26,357.56,32.7818783405447,5.75,6.39534883720931,14456.8211953459,39.9,4.29276668813045,3.38,,,
40,1971-03-01,357.63,32.8836854161364,5.75,6.39534883720931,14456.8211953459,40.0,4.29276668813045,3.63,,,
41,1971-03-02,357.56,32.8836854161364,5.75,6.39534883720931,14456.8211953459,40.0,4.29276668813045,3.63,,,
42,1971-03-03,357.49,32.8836854161364,5.75,6.39534883720931,14456.8211953459,40.0,4.29276668813045,3.25,,,
43,1971-03-04,357.45,32.8836854161364,5.75,6.39534883720931,14456.8211953459,40.0,4.29276668813045,3.5,,,
44,1971-03-05,357.59,32.8836854161364,5.75,6.39534883720931,14456.8211953459,40.0,4.29276668813045,3.25,,,
45,1971-03-08,357.55,32.8836854161364,5.75,6.39534883720931,14456.8211953459,40.0,4.29276668813045,3.13,,,
46,1971-03-09,357.46,32.8836854161364,5.75,6.39534883720931,14456.8211953459,40.0,4.29276668813045,3.13,,,
